,tags,counts,Percentile Rank
694,tube,6,0.47153679653679653
695,gantry,7,0.5646103896103896
696,acceleration,4,0.2864718614718615
697,speed,4,0.2864718614718615
698,smd,4,0.2864718614718615
699,footprint,7,0.5646103896103896
700,trinamic,4,0.2864718614718615
701,stepper,12,0.7867965367965368
702,driver,11,0.7570346320346321
703,pololus,4,0.2864718614718615
704,a4988,4,0.2864718614718615
705,watterott,4,0.2864718614718615
706,tmc2130,4,0.2864718614718615
707,microstepping,4,0.2864718614718615
708,phase,4,0.2864718614718615
709,current,7,0.5646103896103896
710,noise,10,0.7248917748917749
711,coolstep,4,0.2864718614718615
712,stallguard,4,0.2864718614718615
713,stealthchop,4,0.2864718614718615
714,spi,4,0.2864718614718615
715,open,7,0.5646103896103896
716,source,7,0.5646103896103896
717,interpolation,4,0.2864718614718615
718,grbl,4,0.2864718614718615
719,firmware,4,0.2864718614718615
720,gcode,4,0.2864718614718615
721,load,6,0.47153679653679653
722,austin,11,0.7570346320346321
723,powers,8,0.6358225108225108
724,limit,4,0.2864718614718615
725,homing,4,0.2864718614718615
726,bungard,7,0.5646103896103896
727,Verizon,6,0.47153679653679653
728,first responders,6,0.47153679653679653
729,rescue,6,0.47153679653679653
730,natral disaster,6,0.47153679653679653
731,all our thanks,6,0.47153679653679653
732,Super Bowl,6,0.47153679653679653
733,wireless,21,0.9327922077922078
734,cell phone,11,0.7570346320346321
735,phone plan,6,0.47153679653679653
736,unlimited,6,0.47153679653679653
737,Super Bowl 52,6,0.47153679653679653
738,Cedricka,6,0.47153679653679653
739,Quincy Fire Department,6,0.47153679653679653
740,Abby Ward,6,0.47153679653679653
741,Wayne Bassham,6,0.47153679653679653
742,hiking,6,0.47153679653679653
743,Barrett family,6,0.47153679653679653
744,Cypress,6,0.47153679653679653
745,Huricane Harvey,6,0.47153679653679653
746,Hurricane,6,0.47153679653679653
747,Houston,6,0.47153679653679653
748,Houston strong,6,0.47153679653679653
749,Ryan Chapin,6,0.47153679653679653
750,Joe Clopton,6,0.47153679653679653
751,Pisanos,6,0.47153679653679653
752,freeway plane crash,6,0.47153679653679653
753,Mike Macalinao,6,0.47153679653679653
754,Partida family,6,0.47153679653679653
755,Murietta,6,0.47153679653679653
756,Murietta flood,6,0.47153679653679653
757,DeKalb County,6,0.47153679653679653
758,Ragland,6,0.47153679653679653
759,Peckrul,6,0.47153679653679653
760,Justin TImberlake,6,0.47153679653679653
761,how to take a screenshot on iPhone,2,0.10313852813852814
762,how to take a screenshot on iPad,2,0.10313852813852814
763,how to take a screenshot on iPod Touch,2,0.10313852813852814
764,iPhone screenshot,2,0.10313852813852814
765,iPad screenshot,2,0.10313852813852814
766,iPod Touch screenshot,2,0.10313852813852814
767,iOS Screenshot,2,0.10313852813852814
768,Take a photo of iPhone Screen,2,0.10313852813852814
769,spacewalk,3,0.19015151515151515
770,nasa,48,0.9848484848484849
